rank,lab,best_current_coding_model,model_release_or_access_date,benchmark_gaming_risk_0_100,raw_coding_generalization_0_100,confidence_0_100,vulnerable_benchmark_evidence,robust_eval_evidence,main_confidence_penalty,summary_judgment,key_sources
1,DeepSeek,DeepSeek V3.2 / V3.2 Speciale,2026-02 SWE-bench access; 2026 public leaderboard entries,75,60,68,"SWE-bench Verified lists DeepSeek V3.2 high reasoning at 70.0%; Artificial Analysis LiveCodeBench lists DeepSeek V3.2 Speciale at 89.6%; public contest-style evidence is strong.","Scale SWE-Bench Pro public lists deepseek-v3p2 at 15.56%; Terminal-Bench 2.0 lists Terminus 2 DeepSeek-V3.2 at 39.6%; no Scale private result found for the current model.","No private result for same current model; model variants differ; strong public/live contest evidence contrasts with weaker repo/terminal evidence.","Highest observed risk: strong public benchmark and contest evidence but weak standardized Pro and terminal evidence. This is not evidence of intent.","https://www.swebench.com/|https://artificialanalysis.ai/evaluations/livecodebench|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://www.tbench.ai/leaderboard/terminal-bench/2.0"
2,Moonshot / Kimi,Kimi K2.5 / Kimi K2.6,2026-02 SWE-bench access; 2026 Arena entries,68,64,66,"SWE-bench Verified lists Kimi K2.5 high reasoning at 70.8%; SWE-bench Multilingual lists Kimi K2.5 at 67.3%; Arena coding lists Kimi K2.6 near the frontier crowd-preference tier.","Scale SWE-Bench Pro public lists Kimi K2 Instruct at 27.67%; Terminal-Bench 2.0 lists Terminus 2 Kimi K2.5 at 43.2%; no Scale private result found.","Private evidence absent; Pro result is for K2 Instruct rather than K2.5/K2.6; scaffold details vary.","High risk from strong public repo benchmark results and sparse private support; raw generalization evidence is meaningful but not yet broad.","https://www.swebench.com/|https://www.swebench.com/multilingual-leaderboard.html|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://www.tbench.ai/leaderboard/terminal-bench/2.0|https://arena.ai/leaderboard/text/coding"
3,Z.ai / Zhipu,GLM-5 / GLM-5.1,2026-02 SWE-bench access; 2026 Arena entries,65,68,64,"SWE-bench Verified lists GLM-5 high reasoning at 72.8%; SWE-bench Multilingual lists GLM-5 at 69.7%; Arena coding lists GLM-5.1 and GLM-5.2 max in the top public crowd-preference tier.","Terminal-Bench 2.0 lists Terminus 2 GLM 5 at 52.4%; Scale SWE-Bench Pro public lists GLM 4.6 at 9.67%, not the same current model; no Scale private result found.","Current private Pro evidence absent; model identity differs across public and Pro sources; some evidence is crowd-preference based.","Moderately high risk due to strong public SWE-bench/Arena results with limited same-model private evidence.","https://www.swebench.com/|https://www.swebench.com/multilingual-leaderboard.html|https://www.tbench.ai/leaderboard/terminal-bench/2.0|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://arena.ai/leaderboard/text/coding"
4,MiniMax,MiniMax M2.5 / M2.7,2026-02 SWE-bench access; 2026 Terminal-Bench entries,64,68,62,"SWE-bench Verified lists MiniMax M2.5 high reasoning at 75.8%; SWE-bench Multilingual lists MiniMax 2.5 at 68.3%.","Scale SWE-Bench Pro public lists MiniMax 2.1 at 36.81%; Terminal-Bench 2.0 lists MiniMax M2.5 variants around 42-43%; no Scale private result found.","Best current model identity differs across sources; no same-model private result; sparse non-public evidence.","Moderately high risk: very strong public SWE-bench score, but private evidence is missing and terminal performance is less dominant.","https://www.swebench.com/|https://www.swebench.com/multilingual-leaderboard.html|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://www.tbench.ai/leaderboard/terminal-bench/2.0"
5,xAI,Grok 4.20 Reasoning / Grok 4,2026 Terminal-Bench and Arena entries; 2025 Aider Grok-4 entry,60,58,58,"Aider Polyglot lists Grok-4 high at 79.6% pass-rate-2; BigCodeBench lists Grok-3-Beta near older frontier scores; Arena coding lists Grok 4.20 multi-agent beta in the top public tier.","Terminal-Bench 2.0 lists Grok 4.20 Reasoning at 57.3% in one CLI setup but Grok 4 near 23-28% in other agent setups; no Scale SWE-Bench Pro private result found.","Private evidence absent; large scaffold variance; fewer current coding-specific independent results than leading labs.","Elevated risk from public/crowd and scaffold-sensitive evidence with limited private repo-level support.","https://aider.chat/docs/leaderboards/|https://bigcode-bench.github.io/|https://www.tbench.ai/leaderboard/terminal-bench/2.0|https://arena.ai/leaderboard/text/coding"
6,Alibaba / Qwen,Qwen3-Coder 480B-A35B / Qwen3.7 Max Preview,2026-02 SWE-bench access; 2026 Arena entries,52,58,63,"SWE-bench Verified lists Qwen3-Coder 480B/A35B at 55.4%; Arena coding lists Qwen3.7 Max Preview in the top public crowd-preference tier; Aider and CodeClash include Qwen coder-family public results.","Scale SWE-Bench Pro public lists Qwen3-Coder 480B/A35B at 38.70%; Terminal-Bench 2.0 lists Qwen 3 Coder 480B at 23.9%; no Scale private result found.","Private evidence absent; public and robust results are mixed; model family differs across Qwen entries.","Medium risk: public scores are good but not uniquely dominant, and stronger Pro public evidence reduces the over-optimization concern.","https://www.swebench.com/|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://www.tbench.ai/leaderboard/terminal-bench/2.0|https://codeclash.ai/|https://arena.ai/leaderboard/text/coding"
7,Meta,Muse Spark,2026 Scale and Arena entries,49,82,76,"Arena coding lists Meta Muse Spark in the top public crowd-preference tier; prior Meta Llama 4 reporting controversy raises a lab-level disclosure caution but is not coding-specific evidence for Muse Spark.","Scale SWE-Bench Pro public lists Muse Spark at 55.00%; Scale SWE-Bench Pro private lists Muse Spark at 44.70%, second overall in the observed private comparison.","Sparse public model documentation; private result is strong but details remain evaluator-controlled; prior reporting-practice controversy is lab-level, not direct model evidence.","Strong raw generalization evidence from private Pro; risk remains moderate due sparse disclosures and public leaderboard incentives.","https://labs.scale.com/leaderboard/swe_bench_pro_public|https://labs.scale.com/leaderboard/swe_bench_pro_private|https://arena.ai/leaderboard/text/coding|https://www.theverge.com/meta/645012/meta-llama-4-maverick-benchmarks-gaming"
8,Google DeepMind,Gemini 3.1 Pro / Gemini 3 Pro Preview / Gemini 3 Flash,2025-11 to 2026-03 public leaderboard entries,45,80,80,"Artificial Analysis LiveCodeBench lists Gemini 3 Pro Preview high at 91.7% and Gemini 3 Flash Preview Reasoning at 90.8%; SWE-bench Verified lists Gemini 3 Flash high reasoning at 75.8%.","Scale SWE-Bench Pro public lists Gemini 3.1 Pro thinking at 46.10%; Scale private lists Gemini 3.1 Pro thinking at 32.20%; Terminal-Bench 2.0 lists TongAgents Gemini 3.1 Pro at 80.2%.","Model variants differ across Gemini 3 Pro/3.1 Pro/Flash; some results are agent-scaffold dependent.","Lower risk than most: strong live contest, private repo, and terminal evidence, though model-variant normalization remains important.","https://artificialanalysis.ai/evaluations/livecodebench|https://www.swebench.com/|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://labs.scale.com/leaderboard/swe_bench_pro_private|https://www.tbench.ai/leaderboard/terminal-bench/2.0"
9,OpenAI,GPT-5.4 xHigh / GPT-5.3-Codex / GPT-5.5,2026 public leaderboard entries,39,88,85,"SWE-bench Verified lists GPT-5-2 Codex at 72.8%; Aider lists GPT-5 high as a top public Polyglot result; Arena coding lists GPT-5.4/GPT-5.5 High in the top public tier.","Scale SWE-Bench Pro public lists GPT-5.4 xHigh at 59.10%; Scale private lists GPT-5.4 xHigh at 43.40%; Terminal-Bench 2.0 lists GPT-5.5 and GPT-5.3-Codex systems at 75-85%; CodeClash lists GPT-5 second among tested models.","Several model variants and agent names complicate attribution; Codex/CLI results include scaffolds and tools.","Low-to-moderate risk: public scores are high, but private Pro, terminal, and goal-oriented evidence broadly support generalization.","https://www.swebench.com/|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://labs.scale.com/leaderboard/swe_bench_pro_private|https://www.tbench.ai/leaderboard/terminal-bench/2.0|https://codeclash.ai/|https://aider.chat/docs/leaderboards/"
10,Anthropic,Claude Opus 4.6 / Claude Opus 4.7,2026 public leaderboard entries,35,89,86,"SWE-bench Verified lists Claude Opus 4.6 at 75.6% and Claude Opus 4.5 high reasoning at 76.8%; Arena coding lists several Claude Opus 4.6/4.7 variants at the top public crowd-preference tier.","Scale SWE-Bench Pro private lists Claude Opus 4.6 thinking at 47.10%, the top observed private result; Scale public lists Opus 4.6 thinking at 51.90%; Terminal-Bench 2.0 lists Opus 4.7/4.6 systems around 75-80%.","Multiple Claude variants and thinking modes; some results depend on agent scaffold and inference budget.","Lowest observed risk among this set: very strong public results are matched by strong private and terminal evidence.","https://www.swebench.com/|https://labs.scale.com/leaderboard/swe_bench_pro_public|https://labs.scale.com/leaderboard/swe_bench_pro_private|https://www.tbench.ai/leaderboard/terminal-bench/2.0|https://arena.ai/leaderboard/text/coding"
